CHAPTER,STAGE,LIMIT,ROW,COLUMN,TYPE,COLOR,HINT_ROW,HINT_COLUMN,SHOW_HINT,LKEY
1,1,3,3,3,.........,BWWWBBBWW,2,1,FALSE,
1,2,3,3,3,.........,BWWWBBWBB,1,2,FALSE,
1,3,4,3,3,.........,BWBWWWBWB,2,2,FALSE,
1,4,4,3,3,.........,WBWBWBWBW,1,0,FALSE,
1,5,4,3,3,.........,WBWBWBWWW,2,1,FALSE,
1,6,4,3,3,.........,BWBWWBBBB,0,0,FALSE,
1,7,4,3,3,.........,WWBBWBBWW,2,1,FALSE,
1,8,4,3,3,.........,WBWWWBBWW,0,2,FALSE,
1,9,4,3,3,.........,BWBWWWWWW,2,1,FALSE,
1,10,5,3,3,.........,BBBBBWBBB,1,0,FALSE,
1,11,4,4,4,................,WWWWWWBWWBWBWWBW,2,1,FALSE,
1,12,4,4,4,................,WWBWWBWBBWBWWBWW,0,0,FALSE,
1,13,4,4,4,................,BBBBWWWBBBWBBBWB,0,3,FALSE,
1,14,4,4,4,................,BBWWWWBWWWWBWWWB,2,1,FALSE,
1,15,4,4,4,................,BBBBWBBWWBBWBWWB,2,1,FALSE,
1,16,4,4,4,................,BWBBWWBWBBBWBWWB,2,2,FALSE,
1,17,4,4,4,................,BBWBWWWBBWWWBWBB,2,0,FALSE,
1,18,6,4,4,................,BWBWWWBBBBWWWBWB,3,0,FALSE,
1,19,6,4,4,................,BWWWWBWWWWBWWWWB,3,1,FALSE,
1,20,6,4,4,................,WBWBBWWWWWWBBWBW,0,1,FALSE,
2,1,2,4,4,.....+....+.....,WBWWBBWWWWBBWWBW,2,2,FALSE,
2,2,3,4,4,.....+....+.....,BWWWWWWWWWBBWWBW,0,0,FALSE,
2,3,4,4,4,.....+....+.....,WWBBWBWBBWBWBBWW,2,1,FALSE,
2,4,4,4,4,.....+....+.....,BWWWWWWWWWWWWWWB,2,2,FALSE,
2,5,5,4,4,.....+....+.....,WBBBBWBWBBBBBWBW,2,0,FALSE,
2,6,4,4,4,.....++..++.....,WBBWBBBBBBBBWBBW,1,1,FALSE,
2,7,4,4,4,.....++..++.....,BWWBBBBBBWWBWBBW,0,1,FALSE,
2,8,4,4,4,.....++..++.....,WBBWWBBBBBBBWBWW,1,2,FALSE,
2,9,4,4,4,.....++..++.....,BBBWBBBBBBBBWBBB,1,2,FALSE,
